"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith","diam_cm_1911","live_in_1911","age_in_1911","ci_1911_diam_lower","predicted_1911_diam","ci_1911_diam_upper"
76,"A38",61,"A380116_new","Ashland","AW48_061_02_new","1_new",1,90,"Hardwood","A","density",0.1,NA,"NO","ARME",14.02083266354,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,11.0236220472441,1.1687426792305,0.662790109025065,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,50,60,98,1860,NA,"Yes",51,9.91378163169715,12.0398251055103,12.3272667020148
77,"A38",87,"A380158_new","Ashland","AW48_087_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",18.299603847441,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,6.22047244094488,0.467861590132522,0.211044544409461,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,50,64,98,1885,NA,"Yes",26,7.37581164390767,7.9780432671777,12.5123341763166
78,"A38",97,"A380187_new","Ashland","AW48_097_02_new","1_new",1,80,"Hardwood","A","density",0.1,NA,"NO","ARME",23.3104434306083,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,10.4724409448819,1.0766552737144,0.598168073395121,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,50,91,98,1829,NA,"Yes",82,16.6726262515128,24.2723176074947,32
79,"A38",98,"A380191_new","Ashland","AW48_098_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",34.1638742456615,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,0.984251968503937,0.024488944517889,0.00528372217016155,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.8346365876187,-13.9173182938093,-5.77620898133034,1988,1997,1988,1997,1923,50,91,98,1832,NA,"Yes",79,21.4586833795809,29.7917425103264,33.0389726392328
80,"A38",99,"A380196_new","Ashland","AW48_099_05_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",30.1754962344118,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,0.984251968503937,0.024488944517889,0.00528372217016155,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-74.647978679063,-37.3239893395315,-15.4908551985894,-38.1467362321087,-19.0733681160544,-7.91616300571204,1974,1992,1974,1992,1931,50,91,98,1840,NA,"Yes",71,14.2192334541851,20.6843135812211,33.0389726392328
81,"A38",105,"A380206_new","Ashland","AW48_105_02_new","1_new",1,80,"Hardwood","A","density",0.1,NA,"NO","ARME",27.5763394458438,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,6.37795275590551,0.486956398427271,0.221865607413951,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,50,91,98,1837,NA,"Yes",74,16.6112914315796,23.2157449858003,32
82,"A38",107,"A380214_new","Ashland","AW48_107_02_new","1_new",1,75,"Hardwood","A","density",0.1,NA,"NO","ARME",24.6619875750752,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,8.85826771653543,0.823679168340479,0.427981495783085,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,50,91,98,1829,NA,"Yes",82,16.6726262515128,24.2723176074947,32
83,"A38",112,"A380224_new","Ashland","AW48_112_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",32.3629974861518,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,2.95275590551181,0.14202476352394,0.0475534995314539,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-74.647978679063,-37.3239893395315,-15.4908551985894,-38.1467362321087,-19.0733681160544,-7.91616300571204,1974,1992,1974,1992,1920,50,91,98,1829,NA,"Yes",82,21.4586833795809,29.5696830076122,32.057784683191
84,"A38",117,"A380232_new","Ashland","AW48_117_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.418093551823,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,2.95275590551181,0.14202476352394,0.0475534995314539,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.8346365876187,-13.9173182938093,-5.77620898133034,1988,1997,1988,1997,1920,50,93,98,1827,NA,"Yes",84,21.4586833795809,29.6183779041922,32.057784683191
85,"A38",118,"A380234_new","Ashland","AW48_118_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.7704238548332,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,0.984251968503937,0.024488944517889,0.00528372217016155,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-74.647978679063,-37.3239893395315,-15.4908551985894,-38.1467362321087,-19.0733681160544,-7.91616300571204,1974,1992,1974,1992,1920,50,88,98,1832,NA,"Yes",79,14.2192334541851,23.1849077443901,32
86,"A38",119,"A380236_new","Ashland","AW48_119_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",48.230787157393,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,7.91338582677165,0.687669472520084,0.341548255034715,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,66,83,84,1837,NA,"Yes",74,29.2441402722808,36.1794043062529,49.7
87,"A42",30,"A420040_new","Ashland","AW44_030_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",25.2031655256817,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1107916.75,"Mid Slope",NA,2011,6,577,786,208,1252,2.95275590551181,0.14202476352394,0.0475534995314539,348,306,174,"White fir - Intermediate,Cool,Mid Slope",-122.73211391,42.12217268,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,1922,58,70,96,1852,NA,"Yes",59,12.6218392188629,15.2630627777578,16.6726262515128
88,"A44",4,"A440003_new","Ashland","AW24_004_02_new","1_new",1,110,"Hardwood","A","density",0.1,"A4403","YES","ARME",19.0463616290942,3,"LIVE",1,NA,NA,NA,NA,112,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266438.5,"Bottom Slope",NA,2011,6,586,804,218,1236,14.0944881889764,1.73172487784236,1.08349274914654,227,326,234,"White fir - Intermediate,Warm,Bottom Slope",-122.71355818,42.12156888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,67,71,80,1857,NA,"Yes",54,9.91378163169715,14.1039788791055,14.9969784370279
89,"A44",46,"A440051_new","Ashland","AW24_046_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ACMA",21.0871402466448,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266438.5,"Bottom Slope",NA,2011,6,586,804,218,1236,2.95275590551181,0.14202476352394,0.0475534995314539,227,326,234,"White fir - Intermediate,Warm,Bottom Slope",-122.71355818,42.12156888,"Alder","Other","Small",0.0497322111706197,0.154055555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.1978023273882,-13.5989011636941,-5.64405393191975,1988,1997,1988,1997,1921,67,71,80,1850,NA,"Yes",61,12.6218392188629,14.6466117099348,16.6726262515128
90,"B01",3,"B010010_new","Big Butte","BB01_003_02_new","2_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","QUKE",26.6249449711734,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1170325.875,"Mid Slope",NA,2012,3,564,780,216,671,4.60629921259843,0.289309991277284,0.115726196459746,202,254,160,"Douglas-fir - Dry,Warm,Mid Slope",-122.68636196,42.5600495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,63,79,93,1837,NA,"Yes",74,14.2192334541851,23.2097540566733,32
91,"B01",55,"B010068_new","Big Butte","BB01_055_01_new","1_new",1,55,"Hardwood","B","density",0.1,NA,"NO","QUKE",21.6934008750424,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1170325.875,"Mid Slope",NA,2012,3,564,780,216,671,5.31496062992126,0.363747555160172,0.154073338481911,202,254,160,"Douglas-fir - Dry,Warm,Mid Slope",-122.68636196,42.5600495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,63,87,93,1835,NA,"Yes",76,14.2192334541851,23.1508777956304,32
92,"B03",36,"B030044_new","Big Butte","BB03_036_02_new","2_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","ARME",26.9222027586248,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1187062.75,"Mid Slope",NA,2012,6,566,781,214,693,7.16535433070866,0.586651619863571,0.28002882106309,328,336,207,"Douglas-fir - Dry,Warm,Mid Slope",-122.68467677,42.55834966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,56,94,106,1832,NA,"Yes",79,16.6112914315796,23.2290322505093,32
93,"B03",49,"B030059_new","Big Butte","BB03_049_03_new","3_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","QUKE",40.5877152281199,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1187062.75,"Mid Slope",NA,2012,3,566,781,214,693,5.90551181102362,0.430538573855914,0.190213998125816,328,336,207,"Douglas-fir - Dry,Warm,Mid Slope",-122.68467677,42.55834966,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-37.5594948281219,-18.779747414061,-7.7942994038202,-28.5595414128617,-14.2797707064309,-5.92664032427235,1993,1998,1993,1998,1915,92,107,132,1808,NA,"Yes",103,17.6677397165605,22.3010639374607,41.366233
94,"B03",55,"B030069_new","Big Butte","BB03_055_02_new","2_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","ARME",25.4293375543141,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1187062.75,"Mid Slope",NA,2012,6,566,781,214,693,2.75590551181102,0.127181199719041,0.0414243818140665,328,336,207,"Douglas-fir - Dry,Warm,Mid Slope",-122.68467677,42.55834966,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1918,56,94,106,1824,NA,"Yes",87,21.4586833795809,24.510077576822,32
95,"B03",83,"B030097_new","Big Butte","BB03_083_02_new","2_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","QUKE",18.101338880943,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1187062.75,"Mid Slope",NA,2012,3,566,781,214,693,3.1496062992126,0.15747442548858,0.0541053150224543,328,336,207,"Douglas-fir - Dry,Warm,Mid Slope",-122.68467677,42.55834966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,56,72,106,1856,NA,"Yes",55,12.1156591639871,12.3901677574382,14.9969784370279
96,"B08",10,"B080006_new","Big Butte","BB08_010_01_new","1_new",1,35,"Hardwood","B","density",0.1,"B0806","YES","QUKE",10.5045398522877,3,"LIVE",1,1907,2012,1906,0.2,102,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1154701.75,"Mid Slope",106,2012,3,573,782,209,747,5.11811023622047,0.342432847395884,0.142871847481168,146,272,216,"Douglas-fir - Dry,Warm,Mid Slope",-122.68342427,42.55516765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,76,91,143,1821,0,"Yes",90,8.729353,14.6506104983812,32
97,"C10",48,"C100053_new","Trail Creek","TL11_048_02_new","2_new",1,NA,"Hardwood","C","density",0.1,NA,"NO","ARME",34.9257324450416,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1086468.625,"Bottom Slope",NA,2012,6,536,731,194,649,2.95275590551181,0.14202476352394,0.0475534995314539,202,268,174,"Douglas-fir - Dry,Cool,Bottom Slope",-122.85432378,42.69575777,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1915,63,113,157,1802,NA,"Yes",109,17.6677397165605,25.3912142390554,41.366233
98,"C11",34,"C110042_new","Trail Creek","TL10_034_01_new","1_new",1,38,"Hardwood","C","density",0.1,NA,"NO","QUKE",12.2470125815685,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2004,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1163660.25,"Mid Slope",NA,2012,3,555,765,210,624,6.29212322834646,0.476513875397793,0.215934397007251,219,296,191,"Douglas-fir - Dry,Warm,Mid Slope",-122.84961148,42.69487001,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,NA,NA,NA,NA,NA,NA,NA,NA,2004,2004,1923,53,65,103,1858,NA,"Yes",53,4.16469270973809,12.1003458081921,14.9969784370279
99,"C11",35,"C110044_new","Trail Creek","TL10_035_01_new","1_new",1,45,"Hardwood","C","density",0.1,NA,"NO","QUKE",17.323281812747,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2004,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1163660.25,"Mid Slope",NA,2012,3,555,765,210,624,6.29212322834646,0.476513875397793,0.215934397007251,219,296,191,"Douglas-fir - Dry,Warm,Mid Slope",-122.84961148,42.69487001,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,NA,NA,NA,NA,NA,NA,NA,NA,2004,2004,1923,53,81,103,1842,NA,"Yes",69,12.1156591639871,14.761524185165,16.6726262515128
100,"E03",56,"E030013_new","Elder Creek","ED03_056_01_new","1_new",1,45,"Hardwood","E","density",0.1,"E0313","YES","QUCH",19.6870618777063,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.31496062992126,0.363747555160172,0.154073338481911,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,70,114,128,1812,NA,"Yes",99,8.729353,27.6506962629449,32
101,"E03",9,"E030021_new","Elder Creek","ED03_009_01_new","1_new",1,50,"Hardwood","E","density",0.1,NA,"NO","QUCH",22.6532608685757,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.03937007874016,0.334042715000915,0.138509606457483,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,70,123,128,1804,NA,"Yes",107,8.729353,20.992224101303,31.393853
102,"E03",34,"E030046_new","Elder Creek","ED03_034_01_new","1_new",1,51,"Hardwood","E","density",0.1,NA,"NO","QUCH",22.6925394618648,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.31496062992126,0.363747555160172,0.154073338481911,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,70,123,128,1803,NA,"Yes",108,8.729353,22.513761446303,31.393853
103,"E04",12,"E040015_new","Elder Creek","ED04_012_02_new","2_new",1,NA,"Hardwood","E","density",0.1,NA,"NO","QUKE",19.0269064008457,0,"DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1352875,"Ridge Top",NA,2014,3,629,859,231,995,4.96062992125984,0.325730874759323,0.134214997077576,158,508,449,"Jeffrey pine,Warm,Ridge Top",-123.56500208,42.05665793,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-77.6334105981085,-38.8167052990543,-16.1103882975633,-37.9063522548189,-18.9531761274095,-7.86627882331151,1975,1995,1975,1995,1926,51,92,113,1834,NA,"Yes",77,14.2192334541851,16.7124702512823,32
104,"E06",33,"E060048_new","Elder Creek","ED06_033_02_new","2_new",1,NA,"Hardwood","E","density",0.1,NA,"NO","QUGA",14.5970297581333,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1394763.125,"Mid Slope",NA,2014,3,624,851,227,996,5.31496062992126,0.363747555160172,0.154073338481911,271,360,237,"Jeffrey pine,Warm,Mid Slope",-123.56601234,42.05887349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,41,57,113,1900,NA,"Yes",11,0.537006033420728,6.00329842014039,7.95040478447961
105,"G01",6,"G010011_new","Grayback Creek","GB01_006_01_new","1_new",1,93,"Hardwood","G","density",0.1,NA,"NO","ARME",31.2425696548816,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,6,568,776,208,784,9.17322834645669,0.871034841223869,0.458956788633441,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,45,98,177,1829,NA,"Yes",82,21.4586833795809,30.5620077764913,32
106,"G01",9,"G010017_new","Grayback Creek","GB01_009_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",51.9777185927814,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,3,568,776,208,784,4.80314960629921,0.309344060954229,0.125828673249095,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,79,99,160,1829,NA,"Yes",82,23.1844917698597,32.8952136755889,49.7
107,"G01",50,"G010080_new","Grayback Creek","GB01_050_01_new","1_new",1,72,"Hardwood","G","density",0.1,NA,"NO","LIDE",22.1716450346903,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,3,568,776,208,784,8.50393700787402,0.771599709118868,0.394427746513692,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,45,86,177,1836,NA,"Yes",75,12.6218392188629,16.3006303826126,32
108,"G01",52,"G010087_new","Grayback Creek","GB01_052_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",19.8369425085818,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,6,568,776,208,784,2.95275590551181,0.14202476352394,0.0475534995314539,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2005,2005,2005,2005,1935,45,86,177,1849,NA,"Yes",62,12.6218392188629,14.0965212283298,16.6726262515128
109,"G01",53,"G010088_002_new","Grayback Creek","GB01_053_01_002_new","1_new",1,61,"Hardwood","G","density",0.1,NA,"NO","CHCH",21.7891750062141,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,7,568,776,208,784,5.77206988188976,0.415078777207308,0.18171490446458,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,"Western redcedar","Other","Small",0.0363667850030306,0.0452777777777778,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1940,45,71,177,1869,NA,"Yes",42,5.01878933728249,9.12767296874278,10.0547731729638
110,"G01",57,"G010097_new","Grayback Creek","GB01_057_06_new","6_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",33.0397247500615,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,3,568,776,208,784,2.95275590551181,0.14202476352394,0.0475534995314539,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2005,2005,2005,2005,1922,45,97,177,1825,NA,"Yes",86,21.4586833795809,30.4852156419292,32
