"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith"
38,"G08",19,"G080036_new","Grayback Creek","GB08_019_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",26.381659570705,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365764.25,"Mid Slope",NA,2014,3,562,766,204,740,0.984251968503937,0.024488944517889,0.00528372217016155,158,402,338,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.4507647,42.14583106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,80,100,104,1817
39,"G09",2,"G090010_new","Grayback Creek","GB09_002_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",20.7399158923884,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,5,0.329876977693224,0.136353847812057,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,88,93,112,1825
40,"G09",8,"G090027_002_new","Grayback Creek","GB09_008_05_002_new","5_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",43.1539217305859,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,0.984251968503937,0.024488944517889,0.00528372217016155,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1919,88,135,158,1784
41,"G09",21,"G090077_new","Grayback Creek","GB09_021_01_new","1_new",1,30,"Hardwood","G","density",0.1,NA,"NO","LIDE",15.9408365980416,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,4.01574803149606,0.232287761185964,0.0879549527333772,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,88,96,112,1823
42,"G09",23,"G090088_new","Grayback Creek","GB09_023_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",49.5755120884813,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,6,582,823,241,667,4.96062992125984,0.325730874759323,0.134214997077576,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1915,88,135,158,1780
43,"G09",26,"G090097_001_new","Grayback Creek","GB09_026_03_001_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",26.5538834975565,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,0.984251968503937,0.024488944517889,0.00528372217016155,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1919,88,93,112,1826
44,"G09",39,"G090143_003_new","Grayback Creek","GB09_039_02_003_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","QUCH",36.1185259279582,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,2.95275590551181,0.14202476352394,0.0475534995314539,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,88,133,158,1786
45,"G09",42,"G090155_new","Grayback Creek","GB09_042_03_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","CHCH",49.15183527548,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,7,582,823,241,667,4.01574803149606,0.232287761185964,0.0879549527333772,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Western redcedar","Ridgetop","Small",0.0363667850030306,0.0767777777777778,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1919,88,135,158,1784
46,"G09",57,"G090198_new","Grayback Creek","GB09_057_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",37.7384044488921,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,2.95275590551181,0.14202476352394,0.0475534995314539,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1916,88,133,158,1783
47,"G09",65,"G090222_new","Grayback Creek","GB09_065_01_new","1_new",1,40,"Hardwood","G","density",0.1,NA,"NO","LIDE",20.6977843228077,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,4.01574803149606,0.232287761185964,0.0879549527333772,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,88,93,112,1826
48,"G09",71,"G090242_001_new","Grayback Creek","GB09_071_03_001_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",44.3464808659738,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,0.984251968503937,0.024488944517889,0.00528372217016155,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1918,88,135,158,1783
49,"G09",74,"G090250_new","Grayback Creek","GB09_074_01_new","1_new",1,163,"Hardwood","G","density",0.1,NA,"NO","LIDE",43.5689373122457,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,7.95275590551181,0.693151623088886,0.344955199090035,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,88,135,158,1783
50,"G09",75,"G090257_001_new","Grayback Creek","GB09_075_03_001_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",28.8630824373312,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,2.95275590551181,0.14202476352394,0.0475534995314539,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,88,93,112,1823
51,"G09",79,"G090267_001_new","Grayback Creek","GB09_079_03_001_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",36.2803934571041,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,0.984251968503937,0.024488944517889,0.00528372217016155,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1916,88,133,158,1783
52,"G09",82,"G090273_new","Grayback Creek","GB09_082_04_new","4_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",66.0173401939845,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1158818.375,"Ridge Top",NA,2014,3,582,823,241,667,0.984251968503937,0.024488944517889,0.00528372217016155,85,238,212,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45892443,42.1436159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,96,116,187,1800
53,"L04",3,"L040013_003_new","Elliot Ridge","ET04_003_01_003_new","1_new",1,95,"Hardwood","L","density",0.1,NA,"NO","QUCH",27.7595304112039,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1501024.625,"Mid Slope",NA,2014,3,571,810,240,1360,4.13272391732283,0.243208209122059,0.0931537143854574,36,113,95,"Ponderosa pine - Dry,Warm,Mid Slope",-123.03211504,42.01231733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,37,57,167,1905
54,"L04",21,"L040041_004_new","Elliot Ridge","ET04_021_02_004_new","2_new",1,NA,"Hardwood","L","density",0.1,NA,"NO","QUCH",21.9882354701121,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1501024.625,"Mid Slope",NA,2014,3,571,810,240,1360,0.984251968503937,0.024488944517889,0.00528372217016155,36,113,95,"Ponderosa pine - Dry,Warm,Mid Slope",-123.03211504,42.01231733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,37,57,167,1900
55,"R01",23,"R010006_new","Briggs Secret","BS01_023_01_new","1_new",1,44,"Hardwood","R","density",0.1,"R0106","YES","LIDE",18.0238429650893,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1322780.25,"Ridge Top",NA,2014,3,605,820,215,899,4.17322834645669,0.247033264668595,0.0949886436862962,251,623,546,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67694937,42.43215315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,62,92,104,1831
56,"R01",14,"R010031_new","Briggs Secret","BS01_014_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","ARME",24.6453633068353,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1322780.25,"Ridge Top",NA,2014,6,605,820,215,899,2.95275590551181,0.14202476352394,0.0475534995314539,251,623,546,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67694937,42.43215315,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1919,66,101,184,1818
57,"R01",25,"R010044_new","Briggs Secret","BS01_025_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","QUKE",37.8181734732322,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1322780.25,"Ridge Top",NA,2014,3,605,820,215,899,5.31496062992126,0.363747555160172,0.154073338481911,251,623,546,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67694937,42.43215315,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1919,83,96,184,1823
58,"R02",40,"R020056_new","Briggs Secret","BS02_040_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","QUKE",32.5289617241806,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1191566.375,"Ridge Top",NA,2014,3,610,824,215,888,5.51181102362205,0.385541302725637,0.165697527256266,194,392,293,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67752159,42.43313138,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1937,66,147,184,1790
59,"R03",4,"R030022_002_new","Briggs Secret","BS03_004_01_002_new","1_new",1,110,"Hardwood","R","density",0.1,NA,"NO","LIDE",36.3328635578869,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,"Ridge Top",NA,2014,3,545,697,152,927,2.34136687992126,0.0979830949290185,0.0298996655653565,77,247,225,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67234639,42.43421934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,75,101,157,1834
60,"R03",7,"R030027_001_new","Briggs Secret","BS03_007_01_001_new","1_new",1,93,"Hardwood","R","density",0.1,NA,"NO","QUCH",30.0870923036017,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,"Ridge Top",NA,2014,3,545,697,152,927,2.7062595144357,0.123535308720184,0.0399453536418501,77,247,225,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67234639,42.43421934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,74,80,130,1855
61,"R03",26,"R030060_new","Briggs Secret","BS03_026_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","LIDE",23.7411871426387,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,"Ridge Top",NA,2014,3,545,697,152,927,0.984251968503937,0.024488944517889,0.00528372217016155,77,247,225,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67234639,42.43421934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,61,73,75,1858
62,"R03",32,"R030071_new","Briggs Secret","BS03_032_01_new","1_new",1,48,"Hardwood","R","density",0.1,NA,"NO","QUCH",15.418941226694,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,"Ridge Top",NA,2014,3,545,697,152,927,4.92125984251969,0.321604468383684,0.132093054254039,77,247,225,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67234639,42.43421934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,57,81,102,1854
63,"R04",12,"R040007_new","Briggs Secret","BS04_012_01_new","1_new",1,112,"Hardwood","R","density",0.1,"R0407","YES","ARME",29.5478794934699,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",845141.375,"Mid Slope",NA,2014,6,583,770,187,852,7.04724409448819,0.571256168898805,0.270873187286634,109,361,311,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67558738,42.4358371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,66,105,184,1814
64,"R04",18,"R040031_005_new","Briggs Secret","BS04_018_01_005_new","1_new",1,50,"Hardwood","R","density",0.1,NA,"NO","QUCH",22.9317365839162,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",845141.375,"Mid Slope",NA,2014,3,583,770,187,852,1.98615551181102,0.0753045468967249,0.0215156211691201,109,361,311,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67558738,42.4358371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,66,97,131.349999999999,1828
65,"R04",22,"R040041_new","Briggs Secret","BS04_022_03_new","3_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","ARME",34.872238718329,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",845141.375,"Mid Slope",NA,2014,6,583,770,187,852,4.7244094488189,0.301270110735157,0.121736958800522,109,361,311,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67558738,42.4358371,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1919,97,103,184,1816
66,"R04",24,"R040044_new","Briggs Secret","BS04_024_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","LIDE",27.2370665625813,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",845141.375,"Mid Slope",NA,2014,3,583,770,187,852,2.95275590551181,0.14202476352394,0.0475534995314539,109,361,311,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67558738,42.4358371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,66,104,184,1821
67,"R05",7,"R050023_002_new","Briggs Secret","BS05_007_03_002_new","3_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","LIDE",25.1884939454743,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,"Mid Slope",NA,2014,3,583,771,187,790,0.984251968503937,0.024488944517889,0.00528372217016155,89,343,319,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67782687,42.43600707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940,45,73,100,1867
68,"R05",41,"R050060_new","Briggs Secret","BS05_041_01_new","1_new",1,50,"Hardwood","R","density",0.1,NA,"NO","LIDE",22.2151969553965,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,"Mid Slope",NA,2014,3,583,771,187,790,4.7244094488189,0.301270110735157,0.121736958800522,89,343,319,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67782687,42.43600707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940,45,74,100,1866
69,"R05",44,"R050068_new","Briggs Secret","BS05_044_04_new","4_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","LIDE",25.9204902269073,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,"Mid Slope",NA,2014,3,583,771,187,790,0.984251968503937,0.024488944517889,0.00528372217016155,89,343,319,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.67782687,42.43600707,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1940,45,73,100,1867
70,"R06",59,"R060102_007_new","Briggs Secret","BS06_059_01_007_new","1_new",1,68,"Hardwood","R","density",0.1,NA,"NO","LIDE",26.8018353611583,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1194814.375,"Ridge Top",NA,2014,3,586,785,200,954,1.39675831146107,0.0428740019057732,0.0106406931126473,227,400,305,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67020171,42.43610805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,69,77,84,1854
71,"R06",69,"R060118_new","Briggs Secret","BS06_069_02_new","2_new",1,NA,"Hardwood","R","density",0.1,NA,"NO","LIDE",15.8843488210331,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1194814.375,"Ridge Top",NA,2014,3,586,785,200,954,0.984251968503937,0.024488944517889,0.00528372217016155,227,400,305,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67020171,42.43610805,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1931,69,73,84,1858
72,"R06",102,"R060165_004_new","Briggs Secret","BS06_102_01_004_new","1_new",1,58,"Hardwood","R","density",0.1,NA,"NO","LIDE",22.6425120956614,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1194814.375,"Ridge Top",NA,2014,3,586,785,200,954,2.77603297244094,0.128670619599257,0.0420316684403414,227,400,305,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.67020171,42.43610805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,69,73,84,1862
73,"S01",62,"S010041_new","Star Gulch","ST01_062_01_new","1_new",1,67,"Hardwood","S","density",0.1,"S0141","YES","QUCH",24.9401693993583,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-QUCH2/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1401615.875,"Mid Slope",NA,2014,3,530,723,193,974,4.13385826771654,0.243315027210971,0.0932048590816497,109,117,72,"Douglas-fir - Dry,Warm,Mid Slope",-123.10878881,42.14265002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942,68,75,108,1867
74,"S01",3,"S010060_new","Star Gulch","ST01_003_02_new","2_new",1,NA,"Hardwood","S","density",0.1,NA,"NO","ARME",23.8747519537341,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"PSME-QUCH2/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1401615.875,"Mid Slope",NA,2014,6,530,723,193,974,2.95275590551181,0.14202476352394,0.0475534995314539,109,117,72,"Douglas-fir - Dry,Warm,Mid Slope",-123.10878881,42.14265002,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2005,2005,2005,2005,1933,68,73,108,1860
75,"S01",28,"S010111_new","Star Gulch","ST01_028_03_new","3_new",1,NA,"Hardwood","S","density",0.1,NA,"NO","ARME",40.0406368276978,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-QUCH2/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1401615.875,"Mid Slope",NA,2014,6,530,723,193,974,6.45669291338583,0.496610857382383,0.227377586381864,109,117,72,"Douglas-fir - Dry,Warm,Mid Slope",-123.10878881,42.14265002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933,73,97,108,1836
